user_id,event_date,event_type,response_time_ms,battery_level,is_anomaly
1,2025-05-14,move,120,85.5,0
1,2025-05-14,click,95,84.2,1
1,2025-05-13,move,110,86.0,0
2,2025-05-14,move,120,85.5,0
2,2025-05-14,click,95,84.2,1
2,2025-05-13,move,110,86.0,0
3,2025-05-14,move,120,85.5,0
3,2025-05-14,click,95,84.2,1
3,2025-05-13,move,110,86.0,0
4,2025-05-14,move,120,85.5,0
4,2025-05-14,click,95,84.2,1
4,2025-05-13,move,110,86.0,0
5,2025-05-14,move,120,85.5,0
5,2025-05-14,click,95,84.2,1
5,2025-05-13,move,110,86.0,0
6,2025-05-14,move,120,85.5,0
6,2025-05-14,click,95,84.2,1
6,2025-05-13,move,110,86.0,0
7,2025-05-14,move,120,85.5,0
7,2025-05-14,click,95,84.2,1
7,2025-05-13,move,110,86.0,0
8,2025-05-14,move,120,85.5,0
8,2025-05-14,click,95,84.2,1
8,2025-05-13,move,110,86.0,0
9,2025-05-14,move,120,85.5,0
9,2025-05-14,click,95,84.2,1
9,2025-05-13,move,110,86.0,0
10,2025-05-14,move,120,85.5,0
10,2025-05-14,click,95,84.2,1
10,2025-05-13,move,110,86.0,0
11,2025-05-14,move,120,85.5,0
11,2025-05-14,click,95,84.2,1
11,2025-05-13,move,110,86.0,0
12,2025-05-14,move,120,85.5,0
12,2025-05-14,click,95,84.2,1
12,2025-05-13,move,110,86.0,0
13,2025-05-14,move,120,85.5,0
13,2025-05-14,click,95,84.2,1
13,2025-05-13,move,110,86.0,0
14,2025-05-14,move,120,85.5,0
14,2025-05-14,click,95,84.2,1
14,2025-05-13,move,110,86.0,0
15,2025-05-14,move,120,85.5,0
15,2025-05-14,click,95,84.2,1
15,2025-05-13,move,110,86.0,0
16,2025-05-14,move,120,85.5,0
16,2025-05-14,click,95,84.2,1
16,2025-05-13,move,110,86.0,0
17,2025-05-14,move,120,85.5,0
17,2025-05-14,click,95,84.2,1
17,2025-05-13,move,110,86.0,0
18,2025-05-14,move,120,85.5,0
18,2025-05-14,click,95,84.2,1
18,2025-05-13,move,110,86.0,0
19,2025-05-14,move,120,85.5,0
19,2025-05-14,click,95,84.2,1
19,2025-05-13,move,110,86.0,0
